"ID" "Ordine_presentazione" "TAM_1" "TAM_2" "TAM_3" "TAM_4" "TAM_5" "TAM_6" "TAM_7" "TAM_8" "TAM_9" "TAM_10" "TAM_11" "TAM_12" "TAM_13" "TAM_14" "TAM_15" "TAM_16" "TAM_17" "TAM_18"
"1" "SOG_0001_Source1" 1 4 4 NA 2 4 4 1 1 1 1 1 2 5 5 5 2 4 1
"2" "SOG_0002_Source1" 2 5 4 2 2 1 4 4 3 3 3 2 3 4 3 3 2 4 2
"3" "SOG_0003_Source1" 2 4 4 2 1 4 4 2 2 3 3 2 3 3 4 4 1 5 3
"4" "SOG_0004_Source1" 2 4 5 4 3 4 4 2 2 2 2 1 1 2 5 4 2 4 1
"5" "SOG_0005_Source1" 2 5 3 4 1 3 5 2 2 4 3 4 4 5 5 4 1 4 1
"6" "SOG_0006_Source1" 2 4 3 2 1 5 5 1 1 5 5 4 4 5 4 5 3 5 1
"7" "SOG_0007_Source1" 1 3 4 3 1 3 4 2 2 3 4 1 4 4 5 3 2 4 2
"8" "SOG_0008_Source1" 2 5 3 2 1 1 5 1 1 5 3 1 4 1 5 3 1 5 1
"9" "SOG_0009_Source1" 2 4 3 2 1 3 4 1 1 3 3 1 3 5 5 4 2 4 1
"10" "SOG_0010_Source1" 2 2 4 2 3 4 2 2 2 2 2 1 1 4 4 3 2 4 4
"11" "SOG_0011_Source1" 2 4 4 2 2 4 4 2 1 3 3 1 2 4 5 4 1 4 2
"12" "SOG_0012_Source1" 1 4 3 3 1 4 4 1 1 2 3 1 2 4 5 4 3 5 2
"13" "SOG_0013_Source1" 1 4 4 2 2 3 3 2 2 3 4 3 3 3 4 5 2 5 3
"14" "SOG_0014_Source1" 2 5 4 4 1 4 4 1 1 4 4 4 4 4 5 5 1 4 1
"15" "SOG_0015_Source1" 2 5 1 3 3 1 3 3 4 3 1 1 2 4 5 1 5 3 3
"16" "SOG_0016_Source1" 2 2 4 4 1 3 3 1 2 4 4 3 4 5 5 4 2 3 1
"17" "SOG_0017_Source1" 2 4 4 2 1 3 3 1 2 3 3 2 3 3 4 3 1 4 2
"18" "SOG_0018_Source1" 2 5 4 2 1 4 4 1 2 4 4 2 3 4 5 5 5 5 2
"19" "SOG_0019_Source1" 1 4 4 2 2 4 3 2 NA 4 3 2 3 4 4 4 3 3 2
"20" "SOG_0020_Source1" 1 5 4 5 1 5 5 1 1 5 5 3 3 5 5 5 1 5 1
"21" "SOG_0021_Source1" 1 4 4 2 1 4 5 1 1 1 3 3 3 4 4 1 3 5 2
"22" "SOG_0022_Source1" 2 4 4 3 3 4 4 2 2 3 4 1 2 2 5 4 4 4 4
"23" "SOG_0023_Source1" 2 5 4 3 1 4 4 1 2 4 4 5 5 5 5 4 1 5 1
"24" "SOG_0024_Source1" 2 4 3 4 1 4 4 2 2 4 4 4 4 5 5 4 1 4 1
"25" "SOG_0025_Source1" 2 4 4 2 1 4 5 1 1 5 4 3 4 4 5 4 1 5 1
"26" "SOG_0026_Source1" 2 4 4 3 1 4 4 1 2 4 3 4 4 4 5 5 2 2 2
"27" "SOG_0027_Source1" 2 4 2 1 1 1 4 3 2 3 2 4 3 4 2 4 2 2 2
"28" "SOG_0028_Source1" 1 2 4 5 1 3 4 1 1 5 5 5 5 5 5 5 1 4 1
"29" "SOG_0029_Source1" 2 5 4 2 1 4 4 1 1 2 4 1 2 4 5 1 2 4 2
"30" "SOG_0030_Source1" 2 4 3 2 2 3 5 2 2 4 3 4 4 4 5 4 2 4 4
